region,solar_radiation,date
북춘천,1.45,2022-06-26-17:00
북춘천,0.3,2022-06-26-18:00
북춘천,0.09,2022-06-26-19:00
북춘천,0.01,2022-06-26-20:00
북춘천,0.0,2022-06-26-21:00
북춘천,0.0,2022-06-27-00:00
북춘천,0.0,2022-06-27-01:00
북춘천,0.0,2022-06-27-02:00
북춘천,0.0,2022-06-27-03:00
북춘천,0.0,2022-06-27-04:00
북춘천,0.0,2022-06-27-05:00
북춘천,0.0,2022-06-27-06:00
북춘천,0.05,2022-06-27-07:00
북춘천,0.12,2022-06-27-08:00
북춘천,0.45,2022-06-27-09:00
북춘천,1.1,2022-06-27-10:00
북춘천,1.01,2022-06-27-11:00
북춘천,1.42,2022-06-27-12:00
북춘천,1.38,2022-06-27-13:00
북춘천,0.86,2022-06-27-14:00
북춘천,0.6,2022-06-27-15:00
북춘천,0.22,2022-06-27-16:00
북춘천,0.19,2022-06-27-17:00
북춘천,0.24,2022-06-27-18:00
북춘천,0.09,2022-06-27-19:00
북춘천,0.01,2022-06-27-20:00
북춘천,0.0,2022-06-27-21:00
북춘천,0.0,2022-06-28-00:00
북춘천,0.0,2022-06-28-01:00
북춘천,0.0,2022-06-28-02:00
북춘천,0.0,2022-06-28-03:00
북춘천,0.0,2022-06-28-04:00
북춘천,0.0,2022-06-28-05:00
북춘천,0.0,2022-06-28-06:00
북춘천,0.01,2022-06-28-07:00
북춘천,0.1,2022-06-28-08:00
북춘천,0.1,2022-06-28-09:00
북춘천,0.2,2022-06-28-10:00
북춘천,0.21,2022-06-28-11:00
북춘천,0.15,2022-06-28-12:00
북춘천,0.12,2022-06-28-13:00
북춘천,0.17,2022-06-28-14:00
북춘천,0.15,2022-06-28-15:00
북춘천,0.13,2022-06-28-16:00
북춘천,0.09,2022-06-28-17:00
북춘천,0.06,2022-06-28-18:00
북춘천,0.04,2022-06-28-19:00
북춘천,0.02,2022-06-28-20:00
북춘천,0.0,2022-06-28-21:00
북춘천,0.0,2022-06-29-00:00
북춘천,0.0,2022-06-29-01:00
북춘천,0.0,2022-06-29-02:00
북춘천,0.0,2022-06-29-03:00
북춘천,0.0,2022-06-29-04:00
북춘천,0.0,2022-06-29-05:00
북춘천,0.0,2022-06-29-06:00
북춘천,0.06,2022-06-29-07:00
북춘천,0.06,2022-06-29-08:00
북춘천,0.07,2022-06-29-09:00
북춘천,0.38,2022-06-29-10:00
북춘천,0.31,2022-06-29-11:00
북춘천,0.58,2022-06-29-12:00
북춘천,0.56,2022-06-29-13:00
북춘천,0.58,2022-06-29-14:00
북춘천,0.44,2022-06-29-15:00
북춘천,0.33,2022-06-29-16:00
북춘천,0.6,2022-06-29-17:00
북춘천,0.14,2022-06-29-18:00
북춘천,0.1,2022-06-29-19:00
북춘천,0.02,2022-06-29-20:00
북춘천,0.0,2022-06-29-21:00
북춘천,0.0,2022-06-30-00:00
북춘천,0.0,2022-06-30-01:00
북춘천,0.0,2022-06-30-02:00
북춘천,0.0,2022-06-30-03:00
북춘천,0.0,2022-06-30-04:00
북춘천,0.0,2022-06-30-05:00
북춘천,0.0,2022-06-30-06:00
북춘천,0.03,2022-06-30-07:00
북춘천,0.05,2022-06-30-08:00
북춘천,0.04,2022-06-30-09:00
북춘천,0.12,2022-06-30-10:00
북춘천,0.06,2022-06-30-11:00
북춘천,0.23,2022-06-30-12:00
북춘천,0.28,2022-06-30-13:00
북춘천,0.37,2022-06-30-14:00
북춘천,0.39,2022-06-30-15:00
북춘천,0.18,2022-06-30-16:00
북춘천,0.16,2022-06-30-17:00
북춘천,0.15,2022-06-30-18:00
북춘천,0.01,2022-06-30-19:00
북춘천,0.0,2022-06-30-20:00
북춘천,0.0,2022-06-30-21:00
북춘천,0.0,2022-07-01-00:00
북춘천,0.0,2022-07-01-01:00
북춘천,0.0,2022-07-01-02:00
북춘천,0.0,2022-07-01-03:00
북춘천,0.0,2022-07-01-04:00
북춘천,0.0,2022-07-01-05:00
북춘천,0.04,2022-07-01-06:00
북춘천,0.22,2022-07-01-07:00
북춘천,0.54,2022-07-01-08:00
북춘천,1.84,2022-07-01-09:00
북춘천,2.41,2022-07-01-10:00
북춘천,3.34,2022-07-01-11:00
북춘천,2.96,2022-07-01-12:00
북춘천,3.33,2022-07-01-13:00
북춘천,3.39,2022-07-01-14:00
북춘천,2.35,2022-07-01-15:00
북춘천,2.03,2022-07-01-16:00
북춘천,2.05,2022-07-01-17:00
북춘천,1.28,2022-07-01-18:00
북춘천,0.56,2022-07-01-19:00
북춘천,0.07,2022-07-01-20:00
북춘천,0.0,2022-07-01-21:00
북춘천,0.0,2022-07-02-00:00
북춘천,0.0,2022-07-02-01:00
북춘천,0.0,2022-07-02-02:00
북춘천,0.0,2022-07-02-03:00
북춘천,0.0,2022-07-02-04:00
북춘천,0.0,2022-07-02-05:00
북춘천,0.02,2022-07-02-06:00
북춘천,0.2,2022-07-02-07:00
북춘천,0.57,2022-07-02-08:00
북춘천,0.95,2022-07-02-09:00
북춘천,1.75,2022-07-02-10:00
북춘천,3.06,2022-07-02-11:00
북춘천,3.44,2022-07-02-12:00
북춘천,3.49,2022-07-02-13:00
북춘천,3.25,2022-07-02-14:00
